product_id,product_name,product_price,product_type,user_type
100007401572,南极人（Nanjiren）两件装 男士t恤秋季圆领黑白体恤T 纯色上衣服打底衫男装CST02 白+白XL,69.0,时尚服装,时尚达人
10067922956540,真维斯（Jeanswest）白色短袖t恤男夏季青少年男生纯棉半袖衣服宽松潮流休闲重磅体恤 白色（揣手兔胸标） L(推荐115-135斤左右),49.9,时尚服装,时尚达人
10045769006397,花花公子纯棉短袖t恤男圆领夏季薄款潮流渐变印花男士短袖汗衫宽松透气男装上衣 白色 XL,99.0,时尚服装,时尚达人
10067822519042,南极人（NanJiren）华夫格短袖t恤男夏季潮流ins休闲风大众版型纯色百搭大码男装体恤 卡其-纯色 XL【推荐135-155斤左右】,49.0,时尚服装,时尚达人
10057640468831,南极人夹克男春秋款外套棒球服男生潮流休闲宽松上衣服男士潮牌春装男装 W16黑色 XL,69.0,时尚服装,时尚达人
66541317288,心仪男人男士短袖t恤V领新款夏季装短袖韩版潮流t恤上衣服潮 334米色 165/M,69.0,时尚服装,时尚达人
10028944570790,【2件装】宾宇短袖t恤男夏装新款时尚百搭男士上衣半袖日系宽松体恤大码印花圆领衣服男装T恤上衣打底衫 KY7卡其+点线铁灰 XL 建议 135/145斤,59.0,时尚服装,时尚达人
100036277996,语曼娇 休闲西装裤时尚春秋高腰垂感直筒宽松显瘦显高高弹减龄百搭九分女裤 黑色 XL,99.0,时尚服装,时尚达人
10035986257535,啄木鸟外套男春秋季新款轻商务休闲男装夹克时尚经典立领免烫抗皱上衣服 9980深灰不加绒 XL（建议115-130斤）,129.0,时尚服装,时尚达人
10043890980594,库罗戈白色外套男夹克男春秋冬轻奢休闲时尚简约帅气百搭棒球服潮流潮牌欧洲站男装刺绣飞行上衣 白色 XL(120-140斤),289.0,时尚服装,时尚达人
10034002630353,什靓孕妇装春装套装外出时尚款韩版波点宽松上衣牛仔裤两件套 单件波点上衣 XL,98.0,时尚服装,时尚达人
10068876887879,花花公子（PLAYBOY）裤子男春季新款韩版潮流宽松垂感直筒休闲裤男士四面弹百搭男裤 灰色 2XL,129.0,时尚服装,时尚达人
100010621415,花花公子（PLAYBOY）短袖T恤男夏季男士上衣服男装潮流宽松纯色纯棉打底衫 白色 XL,128.0,时尚服装,时尚达人
100034294872,啄木鸟（TUCANO）短袖t恤男夏季圆领潮流印花纯棉休闲百搭打底衫衣服男装深灰 L,59.0,时尚服装,时尚达人
100048509537,森马集团GENIOLAMODE长袖T恤男日系简约软萌卡通图案圆领上衣男生个性时尚春秋衣服 黑色3XL,49.9,时尚服装,时尚达人
41323975577,班尼路新款短袖t恤男潮流圆领纯色体恤衫时尚情侣款上衣青年基础百搭打底衫简约休闲透气新疆棉度假风半袖T 00A黑色 L,59.0,时尚服装,时尚达人
